file,id
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_006
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_100_100.npy,000000_007
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_101_101.npy,000001_006
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_102_102.npy,000002_006
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_006
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_103_103.npy,000003_007
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_006
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_007
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_104_104.npy,000004_008
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_000
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_001
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_002
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_003
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_004
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_105_105.npy,000005_005
pose_data/beat_chinese_v2.0.0/smplxflame_30/12_zhao_2_106_106.npy,000006_000
